,faturamento,utilizacao,produtividade,custo
count,121.0,121.0,120.0,121.0
mean,116.18016528925621,81.91404958677688,3.952141109893799e-06,1.1223222556165269
std,12.412799978481287,2.1232563742643036,0.03182513035593573,0.1599423285261353
min,86.2,74.4,-0.07567311228816287,0.9075630252100841
25%,108.1,80.7,-0.018457672646009504,1.0028598665395614
50%,116.6,82.3,-0.005424885873266394,1.0823737821080601
75%,125.0,83.4,0.024098194183129085,1.202911737943585
max,140.9,85.1,0.09190207264453942,1.7602996254681649
