,dlogfaturamento,dlogutilizacao,dlogprodutividade,dlogcusto
count,120.0,120.0,120.0,120.0
mean,0.0003889594880844098,-0.0005525089985103297,3.952141109893799e-06,0.002544121806254911
std,0.07285944179875296,0.015646391440642258,0.03182513035593573,0.10092249774753179
min,-0.15004389787460504,-0.05964500529560901,-0.07567311228816287,-0.26146410773387074
25%,-0.0476196277183516,-0.007121699355117084,-0.018457672646009504,-0.044018646737949314
50%,0.0047069798493066806,0.0012093495737590665,-0.005424885873266394,-0.006581286341073552
75%,0.039080363314885735,0.009535273887479434,0.024098194183129085,0.025466218111549095
max,0.2173324939839043,0.03690455693545047,0.09190207264453942,0.30434445045615227
